Date,Open,High,Low,Close,Volume,Adj Close
2015/11/27,155.2,155.5,152.3,153.2,16407000,153.2
2015/11/26,158,158.3,155.7,155.7,14044000,155.7
2015/11/25,156.7,156.7,155.4,156.4,13077900,156.4
2015/11/24,156,156.6,155,156.1,9906300,156.1
2015/11/23,156.5,157.4,155,155.5,13409300,155.5
2015/11/20,153.1,155.4,152,155.1,11150200,155.1
2015/11/19,153.6,154.7,152,153.1,13314100,153.1
2015/11/18,153,153.1,150.5,151.4,9576600,151.4
2015/11/17,151,153.7,150.5,151.2,15549800,151.2
2015/11/16,148.8,150.3,148.6,149.1,14105700,149.1
2015/11/13,152,153.3,151.3,152.2,12992100,152.2
2015/11/12,153.5,155.7,152.5,155,23088200,155
2015/11/11,152.7,154.5,150.8,151.5,25560700,151.5
2015/11/10,150.1,150.8,148.4,150.4,13943100,150.4
2015/11/9,153.5,155.4,151.5,152,13988500,152
2015/11/6,152.5,155,151.1,154.5,11207800,154.5
2015/11/5,152.3,153.4,151.7,152.3,15731500,152.3
2015/11/4,153.6,156.7,151.9,153,27648700,153
2015/11/3,149.5,151.4,148.9,150.5,22482100,150.5
2015/11/2,148.8,148.8,146.2,147.5,10822500,147.5
2015/10/30,145.1,147.7,145.1,146.6,13196700,146.6
2015/10/29,150.7,150.7,147.3,148,11031100,148
2015/10/28,150,150,148.1,149.8,10527200,149.8
2015/10/27,148.6,149.5,147.1,149.1,13824100,149.1
2015/10/26,152,152,148.2,149,14734400,149
2015/10/23,149.8,149.8,148.2,149.2,19077600,149.2
2015/10/22,148,148,145.5,146.3,12481900,146.3
2015/10/21,146.9,146.9,146.9,146.9,0,146.9
2015/10/20,147.1,147.3,145.1,146.9,8932700,146.9
2015/10/19,148,148,145.2,147.1,10468000,147.1
2015/10/16,147.6,147.9,145.1,146.6,16099800,146.6
2015/10/15,142.4,145.5,141.7,145,15304700,145
2015/10/14,143,143.5,141.6,142.6,11251300,142.6
2015/10/13,143.8,143.8,141.6,142.9,10375900,142.9
2015/10/12,143.7,144,141.4,144,13815200,144
2015/10/9,144,144.1,140.1,141.9,15730300,141.9
2015/10/8,143.5,143.5,140.6,142.1,16995100,142.1
2015/10/7,140.2,142.3,138.1,142,21423700,142
2015/10/6,141.8,141.9,138,139.6,19053400,139.6
2015/10/5,139.5,140.2,138.7,139.7,24743200,139.7
2015/10/2,131.8,135.8,131.1,135.5,28503900,135.5
2015/10/1,129.3,129.3,129.3,129.3,0,129.3
2015/9/30,131,131,127.6,129.3,23769500,129.3
2015/9/29,125.3,127.9,125.3,127.3,25050900,127.3
2015/9/28,131,131,131,131,0,131
2015/9/25,131,131.3,128.8,131,17783200,131
2015/9/24,130.9,131.8,130.1,130.7,16019600,130.7
2015/9/23,130.8,131.8,129.2,130.9,18242800,130.9
2015/9/22,134.9,134.9,132,132,19456300,132
2015/9/21,134.1,134.4,132.1,133.8,16577500,133.8
2015/9/18,134.9,136.4,134.4,135.3,24299900,135.3
2015/9/17,137.6,137.7,131.6,134.3,24112500,134.3
2015/9/16,132.5,135.9,132.5,135.4,24674400,135.4
2015/9/15,128,131.9,127.6,131.2,19857000,131.2
2015/9/14,127.6,129.4,127.3,127.8,13123000,127.8
2015/9/11,129.5,131.3,127.1,127.4,23620900,127.4
2015/9/10,131,131.5,128.5,128.6,19136900,128.6
2015/9/9,130.8,135,130,133.6,27559900,133.6
2015/9/8,126,130.7,125.1,129.4,23654800,129.4
2015/9/7,126.6,129.3,125.8,126.4,20902400,126.4
2015/9/4,129.9,130.2,126.6,127.4,18271600,127.4
2015/9/3,127.4,127.4,127.4,127.4,0,127.4
2015/9/2,125.2,130.5,125.2,127.4,26117400,127.4
2015/9/1,131.7,132.4,127,127.2,20415400,127.2
2015/8/31,132.5,133.6,129.5,131.8,19690700,131.8
2015/8/28,135,136.2,130,130.7,34237300,130.7
2015/8/27,134.8,134.9,127.2,132.2,42911500,132.2
2015/8/26,131.9,132.4,128,128.6,31856000,128.6
2015/8/25,125.2,135.5,124,130.9,50911400,130.9
2015/8/24,128,128.8,125,125,47662800,125
2015/8/21,132,133.4,130,131.4,37570600,131.4
2015/8/20,137.6,138.4,135,136.2,25920700,136.2
2015/8/19,139.6,141.4,138.6,139.6,16701700,139.6
2015/8/18,142.5,144.3,139.2,139.4,12764600,139.4
2015/8/17,143.8,143.8,140.3,142,17206500,142
2015/8/14,145,145.4,142.7,143.4,16236900,143.4
2015/8/13,137.9,145.5,137.4,144.1,41726900,144.1
2015/8/12,140,140.4,133.9,134.9,39624400,134.9
2015/8/11,142.8,145.9,140.6,140.8,15363700,140.8
2015/8/10,140,143.2,138.6,142.8,11273200,142.8
2015/8/7,139,142.4,139,142.1,10787700,142.1
2015/8/6,143.7,143.7,139.2,140.9,14192100,140.9
2015/8/5,142,142.7,140.5,142.4,11755600,142.4
2015/8/4,142.2,144,141.2,143,16430800,143
2015/8/3,144,144.8,142.1,144,11535500,144
2015/7/31,144.1,145.1,142.5,144.7,14412000,144.7
